Player,bat_Span,bat_Mat,bat_Inns,bat_NO,bat_Runs,bat_HS,bat_Ave,bat_BF,bat_SR,bat_100,bat_50,bat_0,bat_,bowl_Span,bowl_Mat,bowl_Inns,bowl_Balls,bowl_Runs,bowl_Wkts,bowl_BBI,bowl_Ave,bowl_Econ,bowl_SR,bowl_4,bowl_5,bowl_
CRD Fernando,,,,,,,,,,0.0,0.0,0.0,,,147.0,141.0,6507.0,5648.0,187.0,,30.2,5.2,34.7,3.0,1.0,
CS MacLeod,,88.0,86.0,7.0,3026.0,175.0,38.3,3756.0,80.56,10.0,13.0,9.0,,,,,,,0.0,,,,,,,
CZ Harris,,250.0,213.0,62.0,4379.0,130.0,29.0,6583.0,66.51,1.0,16.0,12.0,,,250.0,232.0,10667.0,7613.0,203.0,,37.5,4.28,52.5,2.0,1.0,
D Gough,,,,,,,,,,0.0,0.0,0.0,,,159.0,156.0,8470.0,6209.0,235.0,,26.42,4.39,36.0,10.0,2.0,
D Ramdin,,139.0,110.0,22.0,2200.0,169.0,25.0,2738.0,80.35,2.0,8.0,4.0,,,,,,,0.0,,,,,,,
DA Miller,,178.0,154.0,45.0,4611.0,139.0,42.3,4447.0,103.68,7.0,24.0,9.0,,,,,,,0.0,,,,,,,
DA Warner,,161.0,159.0,6.0,6932.0,179.0,45.3,7127.0,97.26,22.0,33.0,4.0,,,,,,,0.0,,,,,,,
DB Vengsarkar,,129.0,120.0,19.0,3508.0,105.0,34.73,5179.0,67.73,1.0,23.0,7.0,,,,,,,0.0,,,,,,,
DC Boon,,181.0,177.0,16.0,5964.0,122.0,37.04,9157.0,65.13,5.0,37.0,6.0,,,,,,,0.0,,,,,,,
DI Gower,,114.0,111.0,8.0,3170.0,158.0,30.77,4218.0,75.15,7.0,12.0,6.0,,,,,,,0.0,,,,,,,
DJ Bravo,,164.0,141.0,24.0,2968.0,,25.36,3606.0,82.3,2.0,10.0,11.0,,,164.0,150.0,6511.0,5874.0,199.0,,29.51,5.41,32.7,6.0,1.0,
DJ Cullinan,,138.0,133.0,16.0,3860.0,124.0,32.99,5492.0,70.28,3.0,23.0,10.0,,,,,,,0.0,,,,,,,
DJ Mitchell,,62.0,57.0,8.0,2811.0,137.0,57.36,2975.0,94.48,9.0,13.0,0.0,,,,,,,0.0,,,,,,,
DJ Willey,,,,,,,,,,0.0,0.0,0.0,,,73.0,72.0,3230.0,2975.0,100.0,,29.75,5.52,32.3,4.0,1.0,
DJG Sammy,,,,,,,,,,0.0,0.0,0.0,,,126.0,119.0,4956.0,3851.0,81.0,,47.54,4.66,61.1,1.0,0.0,
DK Lillee,,,,,,,,,,0.0,0.0,0.0,,,63.0,63.0,3593.0,2145.0,103.0,,20.82,3.58,34.8,5.0,1.0,
DK Morrison,,,,,,,,,,0.0,0.0,0.0,,,96.0,95.0,4586.0,3470.0,126.0,,27.53,4.53,36.3,1.0,2.0,
DL Haynes,,238.0,237.0,28.0,8648.0,,41.37,13707.0,63.09,17.0,57.0,13.0,,,,,,,0.0,,,,,,,
